time,g_emited,replicate,volatile
15,0.56,1-bc,b-caryophyllene
30,0.99,1-bc,b-caryophyllene
45,1.41,1-bc,b-caryophyllene
60,,1-bc,b-caryophyllene
90,3.09,1-bc,b-caryophyllene
120,6.51,1-bc,b-caryophyllene
15,0.4,2-bc,b-caryophyllene
30,0.86,2-bc,b-caryophyllene
45,1.3,2-bc,b-caryophyllene
60,2.77,2-bc,b-caryophyllene
90,6.24,2-bc,b-caryophyllene
120,26.58,2-bc,b-caryophyllene
15,0.65,3-bc,b-caryophyllene
30,1.22,3-bc,b-caryophyllene
45,1.76,3-bc,b-caryophyllene
60,6.26,3-bc,b-caryophyllene
90,30.25,3-bc,b-caryophyllene
120,,3-bc,b-caryophyllene
15,4.78,1-bc,2-heptanol
30,8.88,1-bc,2-heptanol
45,13.73,1-bc,2-heptanol
60,19.43,1-bc,2-heptanol
90,29.96,1-bc,2-heptanol
120,40.36,1-bc,2-heptanol
15,7.97,2-bc,2-heptanol
30,16.05,2-bc,2-heptanol
45,24.45,2-bc,2-heptanol
60,34.44,2-bc,2-heptanol
90,50.97,2-bc,2-heptanol
120,64.69,2-bc,2-heptanol
15,4.44,3-bc,2-heptanol
30,9.05,3-bc,2-heptanol
45,16.51,3-bc,2-heptanol
60,25.64,3-bc,2-heptanol
90,41.56,3-bc,2-heptanol
120,55.7,3-bc,2-heptanol
