date,site ,bats,fruit_bats,cperspicillata,csowelli,ccastanea,carollia_spp,uroderma_spp,sturnira_spp,ectophylla alba,artibeus_spp,desmodus_rotundus,nectarivorous_bats,insectivorous_bats,treatment,hours,nets
March/10,site 1,0,0,0,0,0,0,0,0,0,0,0,0,0,control,3,2
March/10,site 3,5,2,0,1,1,2,0,0,0,0,0,3,0,lures,3,2
March/11,site 1,0,0,0,0,0,0,0,0,0,0,0,0,0,control,5,2
March/11,site 2,37,37,1,5,0,6,25,2,4,0,0,0,0,lures,5,2
March/12,site 1,0,0,0,0,0,0,0,0,0,0,0,0,0,lures,4.5,5
March/12,site 2,6,6,0,0,0,0,5,0,1,0,0,0,0,control,4.5,5
March/12,site 3,2,2,0,1,1,2,0,0,0,0,0,0,0,control,4.5,5
March/12,site 4,1,0,0,0,0,0,0,0,0,0,0,0,1,control,4.5,5
March/12,site 5,2,2,0,0,0,0,0,0,2,0,0,0,0,lures,4.5,5
March/13,site 1,3,1,0,0,0,0,1,0,0,0,0,2,0,control,4.5,5
March/13,site 2,1,0,0,0,0,0,0,0,0,0,0,1,0,lures,4.5,5
March/13,site 3,1,1,0,0,1,1,0,0,0,0,0,0,0,lures,4.5,5
March/13,site 4,2,1,0,0,0,0,0,0,1,0,0,0,1,lures,4.5,5
March/13,site 5,0,0,0,0,0,0,0,0,0,0,0,0,0,control,4.5,5
March/14,site 1,2,2,0,1,0,1,0,0,1,0,0,0,0,control,5,6
March/14,site 2,1,0,0,0,0,0,0,0,0,0,0,1,0,control,5,6
March/14,site 3,5,5,2,1,2,5,0,0,0,0,0,0,0,lures,5,6
March/14,site 4,4,4,0,0,1,2,1,0,1,0,0,0,0,control,5,6
March/14,site 5,5,5,0,1,0,1,0,0,4,0,0,0,0,lures,5,6
March/14,site 6,6,6,2,0,0,2,4,0,0,0,0,0,0,lures,5,6
March/15,site 1,1,1,0,0,0,0,1,0,0,0,0,0,0,lures,5,6
March/15,site 2,0,0,0,0,0,0,0,0,0,0,0,0,0,lures,5,6
March/15,site 3,0,0,0,0,0,0,0,0,0,0,0,0,0,control,5,6
March/15,site 4,2,2,0,0,1,1,1,0,0,0,0,0,0,lures,5,6
March/15,site 5,0,0,0,0,0,0,0,0,0,0,0,0,0,control,5,6
March/15,site 6,14,14,0,0,0,0,1,0,13,0,0,0,0,control,5,6
March/16,site 1,4,4,0,0,0,0,1,0,3,0,0,0,0,control,5,6
March/16,site 2,1,0,0,0,0,0,0,0,0,0,0,0,1,lures,5,6
March/16,site 3,4,1,1,0,0,1,0,0,0,0,0,3,0,lures,5,6
March/16,site 4,1,1,0,0,1,1,0,0,0,0,0,0,0,control,5,6
March/16,site 5,0,0,0,0,0,0,0,0,0,0,0,0,0,control,5,6
March/16,site 6,9,9,0,0,0,0,1,0,8,0,0,0,0,lures,5,6
March/18,site 1,1,1,0,0,0,0,0,0,1,0,0,0,0,lures,5,6
March/18,site 2,25,21,1,0,0,1,15,5,0,0,0,3,0,control,5,6
March/18,site 3,3,1,0,1,0,1,0,0,0,0,0,2,0,control,5,6
March/18,site 4,3,1,0,0,0,0,0,0,1,0,0,0,2,control,5,6
March/18,site 5,1,1,0,0,0,0,0,0,1,0,0,0,0,lures,5,6
March/18,site 6,65,65,1,0,0,1,0,0,64,0,0,0,0,lures,5,6
March/19,site 2,11,11,1,0,0,1,10,0,0,0,0,0,0,control,5,4
March/19,site 3,2,1,1,0,0,1,0,0,0,0,0,1,0,lures,5,4
March/19,site 4,4,1,0,0,0,0,0,0,1,0,0,0,3,lures,5,4
March/19,site 6,30,30,0,0,0,0,0,0,30,0,0,0,0,control,5,4
March/20,site 2,3,3,2,0,0,2,1,0,0,0,0,0,0,lures,5.5,4
March/20,site 3,17,3,3,0,0,3,0,0,0,0,1,14,0,control,5.5,4
March/20,site 4,4,1,0,0,0,0,0,0,1,0,0,0,3,control,5.5,4
March/20,site 6,3,2,2,0,0,2,0,0,0,0,0,1,0,lures,5.5,4
March/21,site 2,2,2,0,0,0,0,1,0,0,1,0,0,0,control,5,4
March/21,site 3,9,4,4,0,0,4,0,0,0,0,0,5,0,lures,5,4
March/21,site 4,0,0,0,0,0,0,0,0,0,0,0,0,0,lures,5,4
March/21,site 6,10,10,0,0,0,0,1,0,9,0,0,0,0,control,5,4
March/23,site 1,0,0,0,0,0,0,0,0,0,0,0,0,0,lures,5,5
March/23,site 2,9,9,0,0,0,0,9,0,0,0,0,0,0,control,5,5
March/23,site 3,5,0,0,0,0,0,0,0,0,0,0,5,0,control,5,5
March/23,site 4,0,0,0,0,0,0,0,0,0,0,0,0,0,lures,5,5
March/23,site 6,1,1,1,0,0,1,0,0,0,0,0,0,0,control,5,5
