"","week","site_letter","treatment","Piperaceae","Urticaceae","Poaceae","Moraceae","Solanaceae","Unknown","total"
"1","4","A","treatment",162,10,16,0,0,0,188
"2","4","C","treatment",0,0,0,0,0,0,0
"3","4","B","control",0,777,1,0,0,1,779
"4","4","D","control",1,0,7,0,14,4,26
"5","5","A","control",18,8,0,0,0,6,32
"6","5","C","control",0,0,0,0,0,0,0
"7","5","B","treatment",0,635,0,0,0,0,635
"8","5","D","treatment",0,0,0,0,6,9,15
"9","6","A","treatment",26,19,0,0,0,3,48
"10","6","C","treatment",0,0,0,97,0,0,97
"11","6","B","control",0,139,0,5,0,5,149
"12","6","D","control",0,1,1,0,1,5,8
"13","7","A","control",0,1,0,0,0,0,1
"14","7","C","control",0,0,0,0,0,0,0
"15","7","B","treatment",0,78,0,0,0,0,78
"16","7","D","treatment",0,0,0,0,0,0,0
