"","allsites$site","allsites$treatment","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","site 1","control",9,7,1,2,0,4,0,0,2,0
"2","site 2","control",54,49,2,40,5,1,1,0,4,0
"3","site 3","control",27,6,6,0,0,0,0,1,21,0
"4","site 4","control",13,7,3,1,0,3,0,0,0,6
"5","site 5","control",0,0,0,0,0,0,0,0,0,0
"6","site 6","control",55,55,1,2,0,52,0,0,0,0
"7","site 1","lures",2,2,0,1,0,1,0,0,0,0
"8","site 2","lures",42,40,8,26,2,4,0,0,1,1
"9","site 3","lures",26,14,14,0,0,0,0,0,12,0
"10","site 4","lures",8,4,1,1,0,2,0,0,0,4
"11","site 5","lures",8,8,1,0,0,7,0,0,0,0
"12","site 6","lures",83,82,5,5,0,72,0,0,1,0
