"site","treatment","bat_species","values"
"site 1","control","bats",9
"site 1","control","fruit_bats",7
"site 1","control","carollia_spp",1
"site 1","control","uroderma_spp",2
"site 1","control","sturnira_spp",0
"site 1","control","ectophylla.alba",4
"site 1","control","artibeus_spp",0
"site 1","control","desmodus_rotundus",0
"site 1","control","nectarivorous_bats",2
"site 1","control","insectivorous_bats",0
"site 1","lures","bats",2
"site 1","lures","fruit_bats",2
"site 1","lures","carollia_spp",0
"site 1","lures","uroderma_spp",1
"site 1","lures","sturnira_spp",0
"site 1","lures","ectophylla.alba",1
"site 1","lures","artibeus_spp",0
"site 1","lures","desmodus_rotundus",0
"site 1","lures","nectarivorous_bats",0
"site 1","lures","insectivorous_bats",0
"site 2","control","bats",54
"site 2","control","fruit_bats",49
"site 2","control","carollia_spp",2
"site 2","control","uroderma_spp",40
"site 2","control","sturnira_spp",5
"site 2","control","ectophylla.alba",1
"site 2","control","artibeus_spp",1
"site 2","control","desmodus_rotundus",0
"site 2","control","nectarivorous_bats",4
"site 2","control","insectivorous_bats",0
"site 2","lures","bats",42
"site 2","lures","fruit_bats",40
"site 2","lures","carollia_spp",8
"site 2","lures","uroderma_spp",26
"site 2","lures","sturnira_spp",2
"site 2","lures","ectophylla.alba",4
"site 2","lures","artibeus_spp",0
"site 2","lures","desmodus_rotundus",0
"site 2","lures","nectarivorous_bats",1
"site 2","lures","insectivorous_bats",1
"site 3","control","bats",27
"site 3","control","fruit_bats",6
"site 3","control","carollia_spp",6
"site 3","control","uroderma_spp",0
"site 3","control","sturnira_spp",0
"site 3","control","ectophylla.alba",0
"site 3","control","artibeus_spp",0
"site 3","control","desmodus_rotundus",1
"site 3","control","nectarivorous_bats",21
"site 3","control","insectivorous_bats",0
"site 3","lures","bats",26
"site 3","lures","fruit_bats",14
"site 3","lures","carollia_spp",14
"site 3","lures","uroderma_spp",0
"site 3","lures","sturnira_spp",0
"site 3","lures","ectophylla.alba",0
"site 3","lures","artibeus_spp",0
"site 3","lures","desmodus_rotundus",0
"site 3","lures","nectarivorous_bats",12
"site 3","lures","insectivorous_bats",0
"site 4","control","bats",13
"site 4","control","fruit_bats",7
"site 4","control","carollia_spp",3
"site 4","control","uroderma_spp",1
"site 4","control","sturnira_spp",0
"site 4","control","ectophylla.alba",3
"site 4","control","artibeus_spp",0
"site 4","control","desmodus_rotundus",0
"site 4","control","nectarivorous_bats",0
"site 4","control","insectivorous_bats",6
"site 4","lures","bats",8
"site 4","lures","fruit_bats",4
"site 4","lures","carollia_spp",1
"site 4","lures","uroderma_spp",1
"site 4","lures","sturnira_spp",0
"site 4","lures","ectophylla.alba",2
"site 4","lures","artibeus_spp",0
"site 4","lures","desmodus_rotundus",0
"site 4","lures","nectarivorous_bats",0
"site 4","lures","insectivorous_bats",4
"site 5","control","bats",0
"site 5","control","fruit_bats",0
"site 5","control","carollia_spp",0
"site 5","control","uroderma_spp",0
"site 5","control","sturnira_spp",0
"site 5","control","ectophylla.alba",0
"site 5","control","artibeus_spp",0
"site 5","control","desmodus_rotundus",0
"site 5","control","nectarivorous_bats",0
"site 5","control","insectivorous_bats",0
"site 5","lures","bats",8
"site 5","lures","fruit_bats",8
"site 5","lures","carollia_spp",1
"site 5","lures","uroderma_spp",0
"site 5","lures","sturnira_spp",0
"site 5","lures","ectophylla.alba",7
"site 5","lures","artibeus_spp",0
"site 5","lures","desmodus_rotundus",0
"site 5","lures","nectarivorous_bats",0
"site 5","lures","insectivorous_bats",0
"site 6","control","bats",55
"site 6","control","fruit_bats",55
"site 6","control","carollia_spp",1
"site 6","control","uroderma_spp",2
"site 6","control","sturnira_spp",0
"site 6","control","ectophylla.alba",52
"site 6","control","artibeus_spp",0
"site 6","control","desmodus_rotundus",0
"site 6","control","nectarivorous_bats",0
"site 6","control","insectivorous_bats",0
"site 6","lures","bats",83
"site 6","lures","fruit_bats",82
"site 6","lures","carollia_spp",5
"site 6","lures","uroderma_spp",5
"site 6","lures","sturnira_spp",0
"site 6","lures","ectophylla.alba",72
"site 6","lures","artibeus_spp",0
"site 6","lures","desmodus_rotundus",0
"site 6","lures","nectarivorous_bats",1
"site 6","lures","insectivorous_bats",0
