site,date,collection_time,treatment,piperaceae,solanaceae,urticaceae,araceae,moraceae,clusiaceae,myrtaceae ,melastomataceae,unknown,total
1,4/14/23,1,basal,22,2,0,19,11,3,16,6,11,90
2,4/14/23,1,basal,0,14,9,19,10,17,9,3,19,100
3,4/14/23,1,basal,35,10,17,8,1,12,9,12,4,108
4,4/14/23,1,basal,14,5,15,7,17,14,7,12,9,100
1,4/29/23,2,basal,30,17,10,10,6,16,4,16,11,120
2,4/29/23,2,basal,0,6,11,20,16,5,14,11,12,95
3,4/29/23,2,basal,40,14,15,10,12,7,15,2,4,119
4,4/29/23,2,basal,18,4,3,0,7,13,14,7,8,74
1,5/13/23,3,control,22,6,13,4,17,3,5,15,3,88
2,5/13/23,3,control,19,6,19,13,2,15,5,8,5,92
3,5/13/23,3,lures,40,12,18,5,18,12,0,18,14,137
4,5/13/23,3,lures,76,20,13,16,4,10,3,8,5,155
1,5/27/23,4,control,17,9,6,11,8,11,19,3,2,86
2,5/27/23,4,control,35,16,6,5,5,10,17,13,7,114
3,5/27/23,4,lures,28,16,11,18,15,8,13,0,5,114
4,5/27/23,4,lures,54,20,2,17,0,6,8,0,6,113
1,6/10/23,5,lures,44,30,7,18,13,3,14,20,0,149
2,6/10/23,5,lures,64,38,17,19,11,4,13,8,0,174
3,6/10/23,5,control,31,9,12,12,13,16,8,6,9,116
4,6/10/23,5,control,21,14,15,2,10,17,9,0,12,100
1,6/24/23,6,lures,50,20,7,9,15,12,18,15,0,146
2,6/24/23,6,lures,70,16,16,13,13,0,6,12,19,165
3,6/24/23,6,control,28,5,18,10,14,4,7,10,0,96
4,6/24/23,6,control,35,19,10,8,14,18,15,10,9,138
